id_contrato,departamento,entidad,modalidad,valor_contrato,fecha_firma
C-000039,SANTANDER,Entidad 324,Contratacion directa,"184.829.327,82",2025-07-16
C-000040,ANTIOQUIA,Entidad 063,Seleccion abreviada,"58.111.598,66",2025-02-19
C-000041,BOGOTA D.C.,Entidad 134,Minima cuantia,"15.416.029,33",2025-11-20
C-000042,BOLIVAR,Entidad 345,Licitacion publica,"190.563.926,68",2025-01-11
C-000043,META,Entidad 131,Seleccion abreviada,"38.279.378,13",2025-09-26
C-000044,CESAR,Entidad 152,Licitacion publica,"57.262.489,35",2025-03-28
C-000045,CUNDINAMARCA,Entidad 121,Minima cuantia,"24.128.429,11",2025-11-01
C-000046,CALDAS,Entidad 010,Seleccion abreviada,"23.799.209,49",2025-07-06
C-000047,ANTIOQUIA,Entidad 070,Minima cuantia,"24.796.036,99",2025-11-20
C-000048,BOGOTA D.C.,Entidad 366,Seleccion abreviada,"18.307.496,78",2025-02-12
C-000049,NARINO,Entidad 354,Minima cuantia,"45.681.848,96",2025-12-07
C-000050,BOGOTA D.C.,Entidad 174,Contratacion directa,"22.447.821,57",2025-02-07
C-000051,BOGOTA D.C.,Entidad 007,Seleccion abreviada,"51.893.440,84",2025-05-28
C-000052,SANTANDER,Entidad 373,Licitacion publica,"100.695.493,05",2025-08-17
C-000053,VALLE DEL CAUCA,Entidad 204,Minima cuantia,"34.072.476,57",2025-05-07
C-000054,BOGOTA D.C.,Entidad 046,Minima cuantia,"4.935.538,03",2025-11-16
C-000055,NARINO,Entidad 235,Licitacion publica,"74.378.380,32",2025-05-12
C-000056,ANTIOQUIA,Entidad 084,Minima cuantia,"20.922.712,48",2025-07-27
C-000057,ANTIOQUIA,Entidad 305,Minima cuantia,"38.984.867,10",2025-03-04
C-000058,ANTIOQUIA,Entidad 305,Minima cuantia,"47.088.286,63",2025-04-27
C-000059,VALLE DEL CAUCA,Entidad 397,Minima cuantia,"54.757.972,25",2025-08-26
C-000060,BOGOTA D.C.,Entidad 329,Contratacion directa,"22.821.627,22",2025-05-28
C-000061,BOGOTA D.C.,Entidad 289,Minima cuantia,"41.519.112,28",2025-09-09
C-000062,BOGOTA D.C.,Entidad 209,Seleccion abreviada,"4.862.749,50",2025-02-09
C-000063,CESAR,Entidad 003,Minima cuantia,"27.606.660,29",2025-02-06
C-000064,ANTIOQUIA,Entidad 245,Licitacion publica,"42.553.757,68",2025-12-24
C-000065,VALLE DEL CAUCA,Entidad 161,Seleccion abreviada,"10.819.486,29",2025-10-01
C-000066,BOGOTA D.C.,Entidad 105,Licitacion publica,"49.487.847,49",2025-03-09
C-000067,VALLE DEL CAUCA,Entidad 242,Contratacion directa,"12.279.033,88",2025-09-13
C-000068,BOGOTA D.C.,Entidad 129,Licitacion publica,"39.261.536,84",2025-07-26
C-000069,ANTIOQUIA,Entidad 288,Licitacion publica,"19.757.571,20",2025-03-14
C-000070,CUNDINAMARCA,Entidad 281,Minima cuantia,"26.384.575,60",2025-04-12
C-000071,ATLANTICO,Entidad 344,Licitacion publica,"6.966.017,25",2025-04-02
C-000072,VALLE DEL CAUCA,Entidad 356,Seleccion abreviada,"26.208.794,39",2025-07-22
C-000073,ANTIOQUIA,Entidad 151,Minima cuantia,"6.805.018,58",2025-01-22
C-000074,BOGOTA D.C.,Entidad 353,Licitacion publica,"12.502.832,20",2025-04-08
C-000075,ANTIOQUIA,Entidad 218,Seleccion abreviada,"47.319.688,64",2025-11-18
C-000076,CUNDINAMARCA,Entidad 397,Minima cuantia,"16.363.748,25",2025-05-02
C-000077,VALLE DEL CAUCA,Entidad 282,Minima cuantia,"21.066.846,13",2025-08-19
C-000078,BOGOTA D.C.,Entidad 074,Contratacion directa,"49.184.408,57",2025-08-05
C-000079,BOGOTA D.C.,Entidad 276,Licitacion publica,"10.701.362,77",2025-09-27
C-000080,ANTIOQUIA,Entidad 039,Contratacion directa,"136.476.456,70",2025-04-20
C-000081,BOGOTA D.C.,Entidad 029,Minima cuantia,"19.139.117,37",2025-08-05
C-000082,BOGOTA D.C.,Entidad 323,Contratacion directa,"420.867.381,47",2025-09-14
C-000083,ANTIOQUIA,Entidad 122,Minima cuantia,"57.603.045,16",2025-04-18
C-000084,BOLIVAR,Entidad 305,Seleccion abreviada,"14.805.966,12",2025-03-11
C-000085,BOYACA,Entidad 179,Seleccion abreviada,"32.500.095,19",2025-07-22
C-000086,HUILA,Entidad 128,Minima cuantia,"28.233.339,98",2025-09-23
C-000087,BOGOTA D.C.,Entidad 302,Minima cuantia,"14.277.865,52",2025-11-17
C-000088,VALLE DEL CAUCA,Entidad 222,Minima cuantia,"15.524.295,06",2025-01-18
C-000089,BOYACA,Entidad 308,Contratacion directa,"72.076.189,67",2025-12-15
C-000090,HUILA,Entidad 131,Seleccion abreviada,"15.637.190,19",2025-09-20
C-000091,BOGOTA D.C.,Entidad 385,Contratacion directa,"64.892.406,09",2025-07-08
C-000092,BOGOTA D.C.,Entidad 084,Contratacion directa,"10.754.500,19",2025-05-08
C-000093,BOGOTA D.C.,Entidad 313,Contratacion directa,"13.844.147,89",2025-04-07
C-000094,VALLE DEL CAUCA,Entidad 103,Contratacion directa,"2.150.297,38",2025-11-17
C-000095,ANTIOQUIA,Entidad 007,Seleccion abreviada,"9.228.649,35",2025-06-15
C-000096,BOGOTA D.C.,Entidad 179,Licitacion publica,"62.394.360,28",2025-10-26
C-000097,ANTIOQUIA,Entidad 123,Contratacion directa,"85.746.214,89",2025-02-02
C-000098,TOLIMA,Entidad 387,Licitacion publica,"123.670.832,71",2025-07-20
C-000099,BOGOTA D.C.,Entidad 365,Minima cuantia,"44.949.874,96",2025-09-15
C-000100,ANTIOQUIA,Entidad 388,Licitacion publica,"162.484.118,46",2025-02-25
C-000101,ATLANTICO,Entidad 238,Seleccion abreviada,"62.368.638,61",2025-11-19
C-000102,VALLE DEL CAUCA,Entidad 130,Seleccion abreviada,"27.766.998,72",2025-06-12
C-000103,ANTIOQUIA,Entidad 362,Seleccion abreviada,"34.887.292,71",2025-12-08
C-000104,BOGOTA D.C.,Entidad 186,Seleccion abreviada,"139.165.762,36",2025-11-05
C-000105,ANTIOQUIA,Entidad 076,Seleccion abreviada,"13.916.723,07",2025-05-26
C-000106,ANTIOQUIA,Entidad 218,Contratacion directa,"20.773.062,53",2025-12-19
C-000107,BOGOTA D.C.,Entidad 216,Minima cuantia,"54.496.124,18",2025-09-22
C-000108,VALLE DEL CAUCA,Entidad 190,Minima cuantia,"184.767.771,88",2025-09-25
C-000109,BOGOTA D.C.,Entidad 317,Seleccion abreviada,"21.347.665,12",2025-11-17
C-000110,CUNDINAMARCA,Entidad 258,Licitacion publica,"150.847.928,26",2025-05-24
C-000111,BOGOTA D.C.,Entidad 117,Seleccion abreviada,"68.254.692,23",2025-04-22
C-000112,ANTIOQUIA,Entidad 076,Minima cuantia,"23.457.622,53",2025-05-11
C-000113,CALDAS,Entidad 172,Seleccion abreviada,"17.800.377,91",2025-05-12
C-000114,VALLE DEL CAUCA,Entidad 266,Contratacion directa,"17.747.607,27",2025-10-24
C-000115,NARINO,Entidad 093,Minima cuantia,"69.677.155,08",2025-06-02
C-000116,ANTIOQUIA,Entidad 199,Minima cuantia,"373.744.227,35",2025-11-04
C-000117,ATLANTICO,Entidad 355,Seleccion abreviada,"18.861.709,93",2025-09-26
C-000118,SANTANDER,Entidad 135,Contratacion directa,"9.672.925,30",2025-03-20
C-000119,BOGOTA D.C.,Entidad 308,Contratacion directa,"34.855.546,43",2025-06-15
C-000120,BOGOTA D.C.,Entidad 336,Licitacion publica,"4.651.628,78",2025-07-13
C-000121,ANTIOQUIA,Entidad 137,Minima cuantia,"56.298.060,06",2025-05-26
C-000122,BOLIVAR,Entidad 054,Minima cuantia,"34.061.033,63",2025-03-19
C-000123,VALLE DEL CAUCA,Entidad 033,Licitacion publica,"18.508.077,77",2025-04-24
C-000124,CESAR,Entidad 218,Contratacion directa,"69.088.864,73",2025-05-25
C-000125,CUNDINAMARCA,Entidad 250,Licitacion publica,"85.077.653,29",2025-12-10
C-000126,VALLE DEL CAUCA,Entidad 005,Seleccion abreviada,"21.225.467,82",2025-02-21
C-000127,ATLANTICO,Entidad 298,Contratacion directa,"50.590.341,10",2025-08-20
C-000128,VALLE DEL CAUCA,Entidad 097,Contratacion directa,"72.345.881,74",2025-05-15
C-000129,CALDAS,Entidad 212,Licitacion publica,"177.715.593,88",2025-03-23
C-000130,RISARALDA,Entidad 023,Seleccion abreviada,"18.320.635,25",2025-11-16
C-000131,VALLE DEL CAUCA,Entidad 171,Licitacion publica,"3.435.748,65",2025-10-27
C-000132,CUNDINAMARCA,Entidad 133,Seleccion abreviada,"11.306.717,51",2025-08-16
C-000133,QUINDIO,Entidad 303,Contratacion directa,"79.995.013,14",2025-04-14
C-000134,BOGOTA D.C.,Entidad 063,Seleccion abreviada,"94.012.786,22",2025-12-26
C-000135,VALLE DEL CAUCA,Entidad 326,Contratacion directa,"59.701.812,51",2025-08-20
C-000136,NARINO,Entidad 188,Minima cuantia,"40.145.152,14",2025-03-12
C-000137,BOGOTA D.C.,Entidad 195,Contratacion directa,"7.049.426,32",2025-09-27
C-000138,BOGOTA D.C.,Entidad 183,Seleccion abreviada,"23.101.323,34",2025-05-15
C-000139,ATLANTICO,Entidad 207,Licitacion publica,"46.450.223,43",2025-01-05
C-000140,ANTIOQUIA,Entidad 034,Contratacion directa,"11.324.324,31",2025-12-02
C-000141,BOGOTA D.C.,Entidad 299,Licitacion publica,"55.518.839,61",2025-03-03
C-000142,BOGOTA D.C.,Entidad 191,Contratacion directa,"51.555.655,44",2025-07-12
C-000143,ANTIOQUIA,Entidad 389,Seleccion abreviada,"103.691.174,21",2025-02-12
C-000144,BOGOTA D.C.,Entidad 187,Contratacion directa,"59.489.084,42",2025-05-28
C-000145,CESAR,Entidad 360,Minima cuantia,"9.934.299,56",2025-06-04
C-000146,ANTIOQUIA,Entidad 385,Minima cuantia,"90.396.259,18",2025-03-28
C-000147,ATLANTICO,Entidad 219,Licitacion publica,"43.972.766,11",2025-11-21
C-000148,CUNDINAMARCA,Entidad 235,Seleccion abreviada,"15.413.639,84",2025-05-01
C-000149,ANTIOQUIA,Entidad 136,Minima cuantia,"18.223.491,14",2025-05-06
C-000150,HUILA,Entidad 221,Licitacion publica,"15.696.457,69",2025-05-13
C-000151,CESAR,Entidad 379,Minima cuantia,"46.462.886,52",2025-06-10
C-000152,CUNDINAMARCA,Entidad 146,Licitacion publica,"46.748.754,35",2025-01-10
C-000153,SANTANDER,Entidad 243,Licitacion publica,"23.637.969,17",2025-04-21
C-000154,TOLIMA,Entidad 019,Licitacion publica,"48.198.297,20",2025-03-24
C-000155,BOGOTA D.C.,Entidad 121,Seleccion abreviada,"21.079.367,87",2025-10-12
C-000156,BOGOTA D.C.,Entidad 149,Licitacion publica,"150.591.750,61",2025-11-10
C-000157,BOGOTA D.C.,Entidad 121,Minima cuantia,"24.081.257,69",2025-07-03
C-000158,BOGOTA D.C.,Entidad 273,Contratacion directa,"18.051.365,77",2025-01-26
C-000159,BOGOTA D.C.,Entidad 378,Licitacion publica,"22.380.874,95",2025-04-05
C-000160,ATLANTICO,Entidad 303,Seleccion abreviada,"30.046.148,10",2025-11-11
C-000161,ANTIOQUIA,Entidad 339,Seleccion abreviada,"57.565.551,99",2025-11-09
C-000162,NARINO,Entidad 212,Minima cuantia,"9.656.954,19",2025-05-22
C-000163,BOGOTA D.C.,Entidad 264,Minima cuantia,"8.188.349,63",2025-01-23
C-000164,ANTIOQUIA,Entidad 209,Seleccion abreviada,"34.270.657,72",2025-02-18
C-000165,META,Entidad 317,Licitacion publica,"24.876.596,32",2025-07-12
C-000166,BOGOTA D.C.,Entidad 090,Contratacion directa,"8.826.169,66",2025-08-21
C-000167,CESAR,Entidad 364,Seleccion abreviada,"26.914.207,92",2025-12-25
C-000168,VALLE DEL CAUCA,Entidad 084,Contratacion directa,"5.264.903,46",2025-08-04
C-000169,VALLE DEL CAUCA,Entidad 290,Seleccion abreviada,"7.285.069,45",2025-05-26
C-000170,ANTIOQUIA,Entidad 037,Licitacion publica,"32.290.655,84",2025-10-09
C-000171,BOGOTA D.C.,Entidad 121,Seleccion abreviada,"3.067.295,64",2025-09-22
C-000172,CAUCA,Entidad 263,Seleccion abreviada,"22.595.215,56",2025-08-10
C-000173,TOLIMA,Entidad 186,Minima cuantia,"21.433.968,76",2025-04-04
C-000174,ANTIOQUIA,Entidad 090,Seleccion abreviada,"40.018.489,84",2025-11-07
C-000175,BOGOTA D.C.,Entidad 380,Licitacion publica,"32.478.753,31",2025-07-20
C-000176,NARINO,Entidad 213,Minima cuantia,"118.147.301,92",2025-07-27
C-000177,ANTIOQUIA,Entidad 309,Seleccion abreviada,"18.088.861,26",2025-03-13
C-000178,ANTIOQUIA,Entidad 313,Contratacion directa,"234.320.600,16",2025-04-20
C-000179,SANTANDER,Entidad 124,Licitacion publica,"18.788.367,38",2025-10-07
C-000180,VALLE DEL CAUCA,Entidad 328,Minima cuantia,"13.003.232,34",2025-02-22
C-000181,BOGOTA D.C.,Entidad 029,Seleccion abreviada,"45.613.921,14",2025-10-15
C-000182,BOGOTA D.C.,Entidad 154,Minima cuantia,"78.372.570,90",2025-01-20
C-000183,NARINO,Entidad 288,Minima cuantia,"13.362.200,52",2025-07-25
C-000184,ANTIOQUIA,Entidad 004,Seleccion abreviada,"10.957.275,88",2025-06-16
C-000185,ANTIOQUIA,Entidad 155,Minima cuantia,"26.204.026,26",2025-01-21
C-000186,ANTIOQUIA,Entidad 261,Minima cuantia,"62.531.735,55",2025-10-21
C-000187,CUNDINAMARCA,Entidad 182,Licitacion publica,"5.799.263,24",2025-11-08
C-000188,CUNDINAMARCA,Entidad 154,Minima cuantia,"4.642.291,71",2025-04-18
C-000189,BOGOTA D.C.,Entidad 048,Minima cuantia,"21.139.288,87",2025-11-21
C-000190,BOGOTA D.C.,Entidad 183,Minima cuantia,"9.814.709,36",2025-01-11
C-000191,NARINO,Entidad 183,Minima cuantia,"4.836.476,64",2025-09-14
C-000192,BOGOTA D.C.,Entidad 214,Seleccion abreviada,"69.968.779,71",2025-07-23
C-000193,ATLANTICO,Entidad 152,Seleccion abreviada,"9.969.631,19",2025-10-27
C-000194,ANTIOQUIA,Entidad 387,Licitacion publica,"53.639.577,19",2025-11-15
C-000195,BOGOTA D.C.,Entidad 209,Licitacion publica,"36.521.204,46",2025-10-06
C-000196,RISARALDA,Entidad 020,Licitacion publica,"16.139.959,33",2025-03-05
C-000197,VALLE DEL CAUCA,Entidad 305,Licitacion publica,"15.614.474,16",2025-11-24
C-000198,ANTIOQUIA,Entidad 054,Contratacion directa,"13.983.201,48",2025-09-24
C-000199,SANTANDER,Entidad 260,Seleccion abreviada,"3.082.998,27",2025-05-07
C-000200,ATLANTICO,Entidad 080,Contratacion directa,"93.582.312,72",2025-02-15
C-000201,CALDAS,Entidad 113,Licitacion publica,"8.641.305,49",2025-04-26
C-000202,VALLE DEL CAUCA,Entidad 302,Minima cuantia,"42.119.286,58",2025-12-15
C-000203,CALDAS,Entidad 182,Licitacion publica,"85.533.647,76",2025-01-21
C-000204,ANTIOQUIA,Entidad 291,Licitacion publica,"85.987.428,03",2025-07-14
C-000205,VALLE DEL CAUCA,Entidad 140,Licitacion publica,"81.602.771,30",2025-03-26
C-000206,BOGOTA D.C.,Entidad 116,Licitacion publica,"60.159.874,37",2025-01-27
C-000207,BOGOTA D.C.,Entidad 189,Contratacion directa,"594.643.815,47",2025-02-13
C-000208,ATLANTICO,Entidad 335,Minima cuantia,"8.215.960,63",2025-08-01
C-000209,NARINO,Entidad 165,Licitacion publica,"173.161.041,43",2025-08-16
C-000210,BOGOTA D.C.,Entidad 284,Seleccion abreviada,"64.127.651,19",2025-02-06
C-000211,NARINO,Entidad 193,Minima cuantia,"34.952.769,21",2025-02-21
C-000212,BOGOTA D.C.,Entidad 054,Seleccion abreviada,"37.517.114,93",2025-01-06
C-000213,NARINO,Entidad 083,Seleccion abreviada,"38.338.382,36",2025-03-09
C-000214,BOGOTA D.C.,Entidad 243,Seleccion abreviada,"10.469.383,25",2025-11-10
C-000215,CUNDINAMARCA,Entidad 124,Seleccion abreviada,"41.349.519,55",2025-06-27
C-000216,ANTIOQUIA,Entidad 372,Minima cuantia,"144.914.114,36",2025-03-11
C-000217,HUILA,Entidad 291,Contratacion directa,"7.686.142,18",2025-04-25
C-000218,HUILA,Entidad 220,Licitacion publica,"35.962.197,51",2025-05-12
C-000219,RISARALDA,Entidad 019,Contratacion directa,"109.590.650,32",2025-06-11
C-000220,ATLANTICO,Entidad 182,Minima cuantia,"41.013.114,43",2025-03-10
C-000221,TOLIMA,Entidad 128,Minima cuantia,"43.968.021,64",2025-05-24
C-000222,SANTANDER,Entidad 064,Contratacion directa,"22.069.828,15",2025-09-20
C-000223,CAUCA,Entidad 302,Licitacion publica,"42.599.099,77",2025-09-03
C-000224,ANTIOQUIA,Entidad 386,Contratacion directa,"39.154.523,16",2025-02-14
C-000225,BOGOTA D.C.,Entidad 045,Seleccion abreviada,"23.038.327,87",2025-08-13
C-000226,ANTIOQUIA,Entidad 024,Contratacion directa,"27.162.545,60",2025-04-07
C-000227,ANTIOQUIA,Entidad 349,Seleccion abreviada,"13.294.557,82",2025-10-25
C-000228,VALLE DEL CAUCA,Entidad 060,Minima cuantia,"59.161.038,39",2025-03-06
C-000229,BOGOTA D.C.,Entidad 224,Minima cuantia,"72.994.819,81",2025-05-13
C-000230,VALLE DEL CAUCA,Entidad 168,Seleccion abreviada,"14.667.817,49",2025-03-09
C-000231,ANTIOQUIA,Entidad 273,Minima cuantia,"2.883.852,70",2025-10-02
C-000232,CUNDINAMARCA,Entidad 275,Licitacion publica,"37.577.468,00",2025-02-14
C-000233,ANTIOQUIA,Entidad 031,Licitacion publica,"28.210.946,33",2025-12-15
C-000234,BOGOTA D.C.,Entidad 107,Seleccion abreviada,"49.195.745,76",2025-05-28
C-000235,BOGOTA D.C.,Entidad 237,Minima cuantia,"64.100.929,94",2025-06-13
C-000236,BOGOTA D.C.,Entidad 388,Licitacion publica,"17.404.427,05",2025-07-18
C-000237,BOGOTA D.C.,Entidad 212,Minima cuantia,"26.748.504,86",2025-04-20
C-000238,BOGOTA D.C.,Entidad 343,Minima cuantia,"67.226.588,46",2025-11-22
C-000239,CUNDINAMARCA,Entidad 366,Minima cuantia,"10.837.421,19",2025-07-26
C-000240,ATLANTICO,Entidad 102,Licitacion publica,"98.029.781,10",2025-12-10
C-000241,ATLANTICO,Entidad 339,Licitacion publica,"8.222.280,18",2025-04-25
C-000242,BOGOTA D.C.,Entidad 016,Contratacion directa,"44.285.770,21",2025-05-04
C-000243,ANTIOQUIA,Entidad 345,Licitacion publica,"34.176.739,49",2025-10-22
C-000244,BOGOTA D.C.,Entidad 001,Contratacion directa,"231.383.952,46",2025-03-23
C-000245,ANTIOQUIA,Entidad 117,Minima cuantia,"17.104.583,24",2025-01-13
C-000246,ATLANTICO,Entidad 297,Contratacion directa,"36.444.619,02",2025-02-24
C-000247,BOGOTA D.C.,Entidad 118,Seleccion abreviada,"4.682.150,22",2025-04-19
C-000248,VALLE DEL CAUCA,Entidad 327,Seleccion abreviada,"114.578.982,90",2025-07-21
C-000249,CUNDINAMARCA,Entidad 187,Seleccion abreviada,"15.996.224,66",2025-08-01
C-000250,BOGOTA D.C.,Entidad 231,Licitacion publica,"5.877.593,97",2025-10-12
C-000251,CUNDINAMARCA,Entidad 158,Seleccion abreviada,"3.739.956,54",2025-10-20
C-000252,BOGOTA D.C.,Entidad 108,Contratacion directa,"4.984.969,81",2025-08-14
C-000253,ANTIOQUIA,Entidad 327,Minima cuantia,"25.768.135,31",2025-01-10
C-000254,ANTIOQUIA,Entidad 082,Licitacion publica,"236.383.614,93",2025-10-05
C-000255,BOGOTA D.C.,Entidad 064,Seleccion abreviada,"22.133.030,03",2025-07-27
C-000256,AMAZONAS,Entidad 155,Licitacion publica,"41.409.844,15",2025-06-19
C-000257,SANTANDER,Entidad 353,Minima cuantia,"76.070.559,14",2025-02-12
C-000258,CESAR,Entidad 375,Licitacion publica,"26.909.981,69",2025-07-23
C-000259,BOGOTA D.C.,Entidad 168,Licitacion publica,"32.640.524,67",2025-02-28
C-000260,BOLIVAR,Entidad 322,Seleccion abreviada,"125.398.631,69",2025-12-23
C-000261,ANTIOQUIA,Entidad 249,Seleccion abreviada,"80.510.585,10",2025-04-18
C-000262,BOGOTA D.C.,Entidad 135,Contratacion directa,"12.967.025,34",2025-05-05
C-000263,BOGOTA D.C.,Entidad 324,Seleccion abreviada,"27.297.427,08",2025-10-12
C-000264,ATLANTICO,Entidad 269,Minima cuantia,"19.953.744,23",2025-11-04
C-000265,ATLANTICO,Entidad 304,Minima cuantia,"18.595.187,00",2025-08-05
C-000266,CUNDINAMARCA,Entidad 288,Seleccion abreviada,"23.622.938,24",2025-07-16
C-000267,VALLE DEL CAUCA,Entidad 005,Minima cuantia,"257.297.313,00",2025-07-16
C-000268,BOGOTA D.C.,Entidad 340,Licitacion publica,"16.547.620,01",2025-12-20
C-000269,ATLANTICO,Entidad 115,Minima cuantia,"47.421.380,66",2025-12-28
C-000270,BOLIVAR,Entidad 034,Seleccion abreviada,"50.696.879,83",2025-09-12
C-000271,VALLE DEL CAUCA,Entidad 315,Contratacion directa,"12.564.902,70",2025-11-02
C-000272,TOLIMA,Entidad 262,Contratacion directa,"7.092.969,53",2025-10-09
C-000273,CAUCA,Entidad 181,Licitacion publica,"51.893.795,45",2025-06-15
C-000274,META,Entidad 066,Licitacion publica,"9.255.636,83",2025-03-03
C-000275,BOGOTA D.C.,Entidad 079,Minima cuantia,"531.611.421,98",2025-08-05
C-000276,ANTIOQUIA,Entidad 044,Licitacion publica,"69.103.426,57",2025-11-08
C-000277,VALLE DEL CAUCA,Entidad 380,Contratacion directa,"18.007.927,11",2025-07-24
C-000278,NARINO,Entidad 365,Licitacion publica,"114.449.404,78",2025-03-11
C-000279,NARINO,Entidad 126,Contratacion directa,"16.410.761,56",2025-01-04
C-000280,CUNDINAMARCA,Entidad 150,Licitacion publica,"43.535.018,15",2025-11-22
C-000281,BOGOTA D.C.,Entidad 269,Contratacion directa,"34.494.616,12",2025-07-08
C-000282,CUNDINAMARCA,Entidad 100,Minima cuantia,"10.382.556,01",2025-11-22
C-000283,BOGOTA D.C.,Entidad 280,Minima cuantia,"38.867.812,12",2025-06-28
C-000284,SANTANDER,Entidad 054,Licitacion publica,"21.826.268,10",2025-04-06
C-000285,VALLE DEL CAUCA,Entidad 271,Licitacion publica,"26.550.964,87",2025-05-11
C-000286,CUNDINAMARCA,Entidad 281,Minima cuantia,"146.717.288,59",2025-09-02
C-000287,BOGOTA D.C.,Entidad 308,Licitacion publica,"32.568.196,25",2025-09-20
C-000288,VALLE DEL CAUCA,Entidad 135,Licitacion publica,"26.187.468,41",2025-03-24
C-000289,BOGOTA D.C.,Entidad 234,Seleccion abreviada,"34.754.762,31",2025-07-01
C-000290,ANTIOQUIA,Entidad 331,Licitacion publica,"16.293.622,88",2025-02-28
C-000291,ANTIOQUIA,Entidad 244,Licitacion publica,"73.804.889,24",2025-05-10
C-000292,BOGOTA D.C.,Entidad 063,Licitacion publica,"46.980.401,72",2025-01-26
C-000293,VALLE DEL CAUCA,Entidad 302,Licitacion publica,"36.397.559,66",2025-02-21
C-000294,CUNDINAMARCA,Entidad 397,Seleccion abreviada,"93.586.750,11",2025-03-12
C-000295,BOGOTA D.C.,Entidad 150,Minima cuantia,"43.067.075,51",2025-03-27
C-000296,ANTIOQUIA,Entidad 362,Licitacion publica,"11.740.926,84",2025-03-22
C-000297,CUNDINAMARCA,Entidad 362,Licitacion publica,"15.810.202,89",2025-05-01
C-000298,VALLE DEL CAUCA,Entidad 325,Contratacion directa,"28.522.818,87",2025-08-23
C-000299,BOGOTA D.C.,Entidad 007,Contratacion directa,"73.210.747,40",2025-12-13
C-000300,ANTIOQUIA,Entidad 282,Contratacion directa,"17.853.411,37",2025-09-06
